area	text
T	党国元老张群王世杰及罗家伦夫人
M	比利时国防大臣就指示参谋部着手制订撤军的各种安排
M	社会上纷纷谣传农村家庭承包制和企业厂长负责制要变了
M	把对外活动搞得卓有成效
M	经济损失仅是一个方面
T	上周在巴格达会晤伊拉克总统海珊及外长阿济兹的苏联特使普利马可夫透过一名通译说
T	骗到内湖区大湖路草丛的废矿寮谈事情
M	如果以后再有机会来北京
M	是不是戏中有戏呢
M	其中福建省的三个市就占３２个摊位
T	味全龙举办此次活动的目的乃在藉各项节目的联欢来拉近球迷与球员之间的距离
M	不能让其占半点便宜
T	也可以罚他按摩搥背捏脚丫
M	说他要向主席报告如今的好日子
M	北约这种不安的心情事出有因
M	想必现在来到北京的人和北京市民都会黯然神伤的
T	可是当晚也有许多系学会办舞会
M	在旧衣服堆里头脚相挨地躺在一起
T	手中握著满把现金
M	只需把手头紧一紧
T	除破全国记录者外
M	加之一小块石灰石调节着水的酸碱度
M	１９９１年度政府预算的审议
T	如果我们不能看清谁才是与中共相呼应
M	为制订加强家门口兵管理的正确措施
M	李鹏总理在七届全国人大三次会议的政府工作报告中提出了一系列方针政策和措施
M	市交通局副局长成日晶
T	但不包括金融局的员额
M	兰詹被安放在汽车内的炸弹炸死
M	我感到我们的老百姓遭受的损失太大了
T	网球表演赛由李院长和彭旭明先生罗副院长伉俪均分别下场竞技
M	欧洲内部的经济联合便越发显得紧迫和重要
T	它也盼望您的伫足参观
T	三十三名官员及五十个记者
T	他们就听懂了大象叔叔说的话
M	荣华鸡扑翅闯进斗鸡场
M	最怕去广州火车站买票
T	该校在约距校舍一公里处试探水位
M	将交通路这条有文化传统的街道恢复重建为有新时代特色的文化街
M	一句话说得大家都开心地笑了起来
M	如今参加联营的农民有５５００多户７５００个劳力
M	但是绝大多数经济学家和国会预计的增长率仅为百分之一点六
T	演唱会采开放点歌的方式进行
T	但教育部认为辅大传播学院目前并无设立的条件
T	往往会受到时间和空间的限制
M	但由于资金严重短缺制约着勘探
M	人们的情绪旋由焦灼转为激动和欣喜
T	警方已依据遗留的证物深入追查死者身份
M	也就是在风险性比较小的地方进行勘探
T	国内最少机会进修的法文歌曲处理正好得到解决
M	是他背我过来的
T	现有的经济指标皆显示这次不景气系短期性质
T	皆应灌输这些观念与做法
M	全年的累计销售总额则为零增长和负增长
M	讨论了对南非的制裁问题
T	失去在国际舞台竞争的本钱
T	人民必然会走向奢华与脱序
M	而分公司的开办费就高达２０００多万元
T	指人际关系中通过交流而创建的共识公信和感情
M	西宁街头一些旨在扩大销售方便群众的商品展销会相继出台
T	自然比同年龄的孩子懂事很多
M	全国现在已拥有３．２万个服装企业
M	难以消除三党之间长期的门户之见
T	将两阶段实施停开措施
M	并且在不断扩充军事力量
M	交易双方为上海海通证券公司和中国信息信托投资公司
T	须经过每年十二月及六月两次选秀会才能加入
M	从他们脸上的表情可以看出
T	少女吸安竟占犯罪总数的一半
M	都是我自己的钱
M	打过仗的人退出了政治舞台
M	就创造了以孩子们为消费主体的快餐文化
M	战争不仅是综合国力的较量
T	各级政府行政及教育事业军火工业之员工不得组织工会
M	这将使美国政府更难为弥补财政赤字筹集资金
M	个人和国家利益相结合局部利益和整体利益相结合
T	但它仍然是治标而非治本的方法
M	接着县上乡上学校都在操心这件事
T	由香港上海汇丰银行有限公司
M	去向我的老师告别
T	我们完全遵照与美国取得协议的政策行事
T	猴祭与大狩猎祭是卑南族传统的祭典
M	等于国家每年用于扩大再生产的总投资
T	因为我所看到的所接触到的台湾是一个相当奇怪的地方
M	上海荣华楼在国内首创高压气炸烹调工艺
M	反腐败斗争要关乎社会主义建设和改革开放的大局
M	见一位老大娘横躺在地上昏迷不醒
T	两人就从半空中摔了下来
T	教务处的人也没有那么多时间一一帮学生查成绩
M	又不像旅游的闹剧了
M	这将为动荡的南朝鲜政局注入新的不稳定因素
T	但是根源于族群语言地域性别阶级和宗教的各种势力
T	行政院国家科学发展委员会已将所补助且获得专利的研究成果汇编成工程科技生物科技自然科学等三册
T	当初会有全语文大史诗这个构想
M	开始积极探索体教结合的新路子
T	今天的人确是给了自己太多的纵容
M	在人们的思想上形成了一些习惯认识和传统观念
T	考试和报告何者较能测出学生的学习效果
T	各陵均是用木俑来代替人殉葬的
M	其中红碎茶产量居全国首位
T	建立安全体系一事仍止于构想阶段
M	英国舆论强烈反对保守党政府取消制裁的决定
T	协议金额更只有七十九亿美元
T	只得任凭强势传媒将多元社会的优良触媒隔绝或稀释淡化
M	或许会受不少启发呢
M	记者参观访问了劫后的科威特大学
M	金文秀和朴柱奉获得冠军
M	在联合国主持下召开一次或多次有关解决中东问题的国际会议
M	难怪有人称它是中国第一戏剧大篷车
M	并指示一定要组织好抗震救灾工作
M	东部地区为石油工业的发展作出了巨大贡献
T	室内赛对所有受风速影响的项目
T	让经销商依用户的需求
M	本世纪内已有１／４感到紧缺
T	安和证券研究部副理张芳俊表示
T	亦成场外游客目光的焦点所在
T	由于目前大盘在连拉三根长黑后
T	重短期财务绩效追求的害处明显可见
M	主要是在当前这种竞争意识下所采取的手段
T	关系著台湾石化工业和钢铁工业未来的七轻和钢铁城计划
T	常有海内外学者指名要展看
M	社会经济发展徘徊不前甚至倒退
M	以表达对小邢阳的祝愿
T	可以一窥台湾两百多年来的发展历史
M	有时竟和别的犯人打起来
T	而我也认为这些课确实有其存在价值
M	攀上企业发展的新高度
T	其实普雷并不需要钱
M	这位六十年代的大学生
M	都来读读这篇文章
M	何不用这些精力认真去办点事情
M	一方面给我三叔父拜年
M	其余的人挤在他周围
T	仅花了卅七分钟即击败捷克选手艾布苏德瓦
T	这十二件钟还因上铸的铭文更显出价值不凡
T	你必须先确认究竟员工目前的基本技能程度如何想要达成的水准为何
M	对不该投入的坚决不投
M	立法机构应该快上加快
M	行业主管部门和物资电力运输银行等部门
M	必须首先准确地理解它
M	那是不辨证的不科学的
M	这为日本参与竞争扩大向中国出口提供了机会
M	第二家荣华鸡连锁店也已开张在即
T	相信应可望在十二月底前完成系统建置
M	有多党合作和政治协商制度
T	不过小组人员抵达现场时
T	也可交换对一些组织内问题的看法
M	老乃早该占一位置喽
T	未来使用者购买电脑时
T	时速约可达７０公里
T	杨院士由于对物理科学重大而且原创性的页献
M	乡村干部冒着齐胸深的洪水把我救出来
M	这所学校建成的同步辐射加速器
T	所以一次只能寻找一个两个
T	这也是为什么杭廷顿教授竟危言耸听地提出
T	民进党籍县议员林丰喜于全县各地举行的问政座谈会中
M	武警公安干警正协助工程人员紧张安装爆破装置
T	此从我国工会法第二十六条
M	专售６４次车票的窗口前
M	我得马上赶回去还有任务
T	我买我要的东西
M	每年都向所在区社会福利院捐赠１０００元
T	即学校事务由最高的行政单位来决定
M	这是一个有争议的预算
M	修护路大坝１处
M	镇有关部门未采取得力措施予以制止
M	特别是南方一些经济发达省市打进北京的
M	你评上三里级售货员后经营状况有没有变化
T	每部机组每天可生产３０万加仑的纯水喔
M	庆贺武汉人民战胜了一九五四年的洪水
M	他背起沉重的工具包
M	燃爆竹养狗与政令
T	也不会有今天非洲南部在政治意识型态及战略上的权力平衡
M	结果除了两位外出探亲一位妻生重病请假外
M	却清楚地记下了老人的另一笔遗产
T	古巴的军队多达十四万五千人
T	首次有外籍劳工加入游行队伍
T	若不是中正体育馆的一场比赛租金达五十万元以上
T	保持人和的政治关系面是应该的工作行为
T	故应学习自我抑制的耐力
M	还有相当大的生产潜力
M	挟北京战役大捷之勇
T	像是写了半个人字
T	一般都不鼓励明目张胆式的越级报告
T	欲藉高压掩盖内部矛盾
T	首先应该客观分析所处工作环境的文化特质
M	也是在前几届省委多年研究成果的基础上制定的
T	立即调派二组警网分头前往查缉
M	宛如飘浮在金色麦海里的一个个绿岛
M	请他来传技实非易事
M	肯定了办特区的方针是正确的
M	要更好地发挥毗邻香港的优势
M	每当夏历月初月中涨潮时
T	今后该公司将凭借著专业的人力资源
T	便能了解自己在班中的水准
T	赚钱兼做学问林汉章不会逢迎不懂争取的个性
T	如果我们这些住在台湾的人不真心关爱本土
M	首钢的经验雄辩地说明
T	这也符合欧美先进国家由民间推动体育的潮流
T	成功关键都在于使员工的技巧与公司的需求相配合
M	党的十二届三中全会通过的中共中央关于经济体制改革的决定指出
T	张丰绪昨天很坦然的说
M	一个具有经济科技和军事潜力的强大德国重新在欧洲中部出现
T	欧安会议签署的巴黎宪章
M	就可能尽早发现新的构造和圈闭
T	台湾大学课务组日前与管理学院达成共识
T	讨论主题是如何提升中研院的学术水准
T	老师是栽培提拔的人
T	达到远距快速运算及影像传送远距教学等功能
M	精兵强将优秀人才集中在生产上
T	因此投资金额迟迟无法完全执行
M	这时连队正好要开展战术实兵实弹演习
M	向麻袋编织袋或筐里装一块块叮叮当当的东西
M	企业设备生产安全情况如何
M	进一步发展各种形式的对外贸易
T	而七十岁高龄的陈月里不但自己是画家
M	从副市长局长到司机勤杂
T	学校应订定一套优良家庭作业奖励办法
M	并没有特此作为做广告搞公关的好机会
M	既维护了国家的主权
T	有山地服务经验的人或是幼稚园的老师
M	但要实行起来就得借鉴舍孔雀而取凤尾的取舍观
T	历经全球资讯业市场风浪的大起大落
T	而由办公室人员接电话
T	可以看到三个氏族部落分布在华东及华西的三大区域
T	在一个集悲欢离合于一地的地方机场
M	一个胖胖的妇女把他拉起来
T	而假借神明名义以为消极的抗议
T	或频宽切割给大量资料传输的多媒体或图形工作站
M	朝野政党一致喊出了坚持大米自给的口号
T	有哪些具体的做法和行动
M	见一位解放军守在母亲床前
M	尽管各成员国至今还未正式表态
T	战乱间两度流落民间
M	在与队员们合影时
T	国民自连续跳空涨停数日抵达元以上后
T	很难有人能出其右
T	即使你不必面对这些特殊状况
M	这个法律草案在没有先例借鉴的情况下
M	而从停火到大选的期限则应在以后由安所有政治力量共同商定
M	努力提高政府职能部门工作效率
M	在焦裕禄生前坐过的那把因经常顶疼痛的肝部而磨破了的藤椅前
T	观察是否有严重问题发生
T	大楼内可能会设有一间表演厅
M	大桥工程局的每一个职工也深知肩负的重担
T	这次夏令营吸引了国内八十多位著名声乐家来参与
M	其实应该说是人和政通
T	这些工作占去了他泰半时间
T	绝对是纸包不住火
M	他们在合并与实施内阁制方面围绕权力分配问题的斗争
M	他们跑到一个并不抱主随客便态度的开发区落了脚
M	要接小王去参加外婆的６０寿辰
M	别人几次要替换他
M	并在实践中不断地加以改进和完善
M	一个早就被否定的行为如今却肆无忌惮
T	据曾前往品尝此道女学生风味的人士表示
M	脚臭汗臭口臭加上一些食物变馊发臭
M	有人上台唱起了女大校歌和延水谣
M	实现了基本自给或大部分自给
M	尤其要注意尊重职工的主人翁地位
M	有赴钢城包头煤海乌达回家探亲的工人
M	暴雨过后的沈家门渔港显得格外清新美丽
M	法律上的重行轻言
T	但车上鸡笼翻覆后
M	将是对海部内阁的严峻考验
T	扩增已开发新闻资料库的功能推动时报线上广泛使用落实技术移转
T	而且学生代表大会的运作
T	即拟购买县府规划在燕巢乡的大学城土地
M	电台不是天天在人们的耳边重复
M	企业的活力才能得到充分的发挥
T	约有六成五的企业经理人预期经济不景气现象将持续走下坡
M	经济特区要在建立社会主义市场经济体制方面积累经验
T	如果同学不想花钱使用有锁的柜子
T	它是由数十位国际语言专家
T	满载土鸡从吴厝往西螺方向行驶
T	记者李琢台北报导北京申办二千年奥运的最大对手雪梨市
M	把主要攻击矛头指向中国
T	其波长可从可见光近红外线热长红外线
T	进行中的台史所台湾史籍自动化作业
M	他所在的连队也一直被集团军树为基层建设标兵连和军区基层建设先进单位
T	如果近二天再收红
T	但是面对这样一个新兴产业
T	结婚才四个月他就开始晚归
M	在改革开放的舞台上演出更加有声有色的活剧来
T	考不上日大的考生多再报考夜大
M	巴库以及整个阿塞拜疆和亚美尼亚两个共和国的局势已基本得到控制
T	压抑国内民气的弱肉强食态势
M	这的确是对每个国家的政府和人民所提出的一个十分尖锐的问题
T	每个人都可以提供自己的知识给别人
T	台中市警二分局逮获持枪恐吓
M	种族主义不仅是南非国内动荡不宁的根源
T	至于为何推出以史诗为主的小说
M	自新年以来悄悄地弥漫在日本列岛的竞选空气陡然升温
M	你得老防背后的暗箭
M	是得到全国人民的支持和拥护的
T	而因为它是一项特殊的土木工程
M	中国医科大学附属二院三院
T	杨丽花将首度尝试摆脱电视的束缚
T	小西园是台湾现存最具传统表演型态的职业布袋戏团
T	泰雅族并且有喝交杯酒的习俗
T	持枪强押宋教官夫妇谈判
T	责怪群魔为何从前未曾要求总统蒋总统们出席
T	要比较国内外的废纸品质
T	其反弹幅度高达一倍的水准
M	成为我国迈向国际先进水准的洗衣机之一
T	只不过有人在核心有人在边缘的区分罢了
M	而要扎扎实实地学习雷锋精神
M	多极化是对两极格局的否定
